feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,class
2.8,12.78,3.26,0.04,0.46,0.48,424.27,80.28,191.38,4.38,48.67,222.31,4.57,29.68,48.67,64.83,0.29,0.0,22.32,48.61,0.0
-885.79,36.84,,0.01,0.04,0.04,27.97,23.14,688.33,,2504.34,-104.16,-0.04,1298.54,2504.34,-35.37,,0.0,125.46,125.72,0.0
-21.52,-252.89,-18.1,0.06,0.46,0.91,306.25,21.22,176.24,92.05,0.91,10.75,11.75,18.22,91.49,-13.0,0.78,22.15,24.66,109.61,0.0
-52.57,-184.29,-85.81,0.0,0.09,0.21,594.09,24.83,300.59,35.93,0.71,2.51,3.51,-25.34,71.47,-46.38,0.54,0.0,29.32,166.78,0.0
-6.95,-65.49,-17.44,0.0,1.0,1.11,913.12,798.14,804.79,88.73,89.13,839.62,9.42,-6.71,89.13,-1.66,7.13,0.0,0.44,82.66,0.0
-672.51,292.14,-176.72,0.04,0.22,0.22,95.65,58.55,310.72,,3.3,-1.43,-0.43,-308.86,330.2,-202.07,-8.67,0.0,67.6,815.92,0.0
-21.86,48.78,-71.6,0.0,0.06,0.09,1192.4,58.74,954.08,39.2,1.45,-3.23,-2.23,-16.72,144.81,-5.79,0.03,35.01,12.3,82.31,0.0
-93.15,40.17,-77.67,,0.12,0.21,303.53,115.63,979.43,88.6,3.32,-1.43,-0.43,-13.13,331.86,-26.24,-7.2,0.05,46.58,-1354.15,0.0
-0.85,-902.99,-1.17,0.01,1.0,1.01,501.96,433.29,490.32,3.73,1.0,1058.79,1059.79,10.48,99.91,-0.54,,0.07,10.95,103.09,0.0
-16.9,48.72,-19.38,0.01,0.55,0.59,417.33,254.19,468.63,18.09,134.61,-388.1,-2.88,8.58,134.61,-11.51,-1.02,0.04,21.19,179.5,0.0
-96.06,77.73,-40.6,0.0,0.16,0.23,153.83,39.34,248.09,18.05,2.24,-1.81,-0.81,44.14,223.59,-38.78,-1.34,19.48,43.14,153.21,0.0
-190.23,98.78,-16.78,0.01,0.12,0.13,32.1,10.09,92.8,0.52,2.93,-1.52,-0.52,313.2,292.58,-46.55,-3.09,0.0,31.93,95.99,0.0
-20.11,-142.47,-2278.68,0.0,0.31,0.31,41255.12,3476.97,11254.0,21.7,32.34,229.15,7.09,-19.64,32.34,-11.1,0.16,0.0,33.75,-83.83,0.0
-15.0,6.6,,0.0,0.29,0.29,24184.46,22259.77,75828.46,,327.33,-143.99,-0.44,-11.29,327.33,-4.46,-34.15,9.65,141.73,-371.42,0.0
-25.52,-28.28,-29.11,1.64,1.64,10.24,415.12,,40.1,344.65,0.1,0.11,1.11,-24.95,9.77,-261.3,,0.0,0.5,-3.19,1.0
21.9,34.91,13.98,2.08,2.57,2.68,232.34,42.34,85.58,9.36,0.37,0.59,1.59,24.93,37.27,61.74,,0.01,1.43,6.03,1.0
0.23,0.61,0.52,0.03,0.13,0.74,818.82,49.41,502.27,307.7,62.17,164.37,2.64,6.41,62.17,7.29,0.7,0.0,10.21,37.22,1.0
-2.1,-3.51,-0.67,1.35,1.73,1.81,115.86,17.29,23.92,3.88,40.28,67.44,1.67,17.38,40.28,59.99,2.24,19.32,4.36,28.92,1.0
,,,,,,,,,,,,,,,,,,,,1.0
